record_id,reference_doi,solid_name,liquid_name,contact_angle_deg,solid_surface_energy_source_type,sfe_fitting_liquids,target_liquid_used_in_sfe_fit,loo_sfe_feasible,loo_available_liquids,risk_level,recommended_action,notes,loo_sfe_total_mJ_m2,loo_sfe_dispersion_mJ_m2,loo_sfe_polar_mJ_m2,all_liquid_fit_total_mJ_m2,all_liquid_fit_dispersion_mJ_m2,all_liquid_fit_polar_mJ_m2
CA0532,10.3390/ma19030529,CSDA chitosan-dialdehyde film,diiodomethane,53.9,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,32.29,29.54,2.75
CA0533,10.3390/ma19030529,CSDA/GE chitosan-dialdehyde film,water,99.2,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,25.02,23.83,1.19
CA0534,10.3390/ma19030529,CSDA/GE chitosan-dialdehyde film,diiodomethane,66.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,25.02,23.83,1.19
CA0535,10.3390/ma19030529,CSDA/PH chitosan-dialdehyde film,water,105.8,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,21.39,20.87,0.52
CA0536,10.3390/ma19030529,CSDA/PH chitosan-dialdehyde film,diiodomethane,72.8,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,21.39,20.87,0.52
CA0537,10.3390/ma19030529,CSDA/BE chitosan-dialdehyde film,water,112.6,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,18.69,18.58,0.1
CA0538,10.3390/ma19030529,CSDA/BE chitosan-dialdehyde film,diiodomethane,78.4,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,18.69,18.58,0.1
CA0539,10.3390/ma19030529,CSDA/GM chitosan-dialdehyde film,water,115.4,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,16.33,16.26,0.08
CA0540,10.3390/ma19030529,CSDA/GM chitosan-dialdehyde film,diiodomethane,83,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,16.33,16.26,0.08
CA0541,10.3390/ma19030529,CSDA/PG chitosan-dialdehyde film,water,118,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,14.14,14.07,0.06
CA0542,10.3390/ma19030529,CSDA/PG chitosan-dialdehyde film,diiodomethane,87.5,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,14.14,14.07,0.06
CA0543,10.3390/ma19030529,CSDA/LA chitosan-dialdehyde film,water,120.5,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,12.48,12.43,0.04
CA0544,10.3390/ma19030529,CSDA/LA chitosan-dialdehyde film,diiodomethane,91.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,12.48,12.43,0.04
CA0545,10.1038/s41598-025-25325-5,PMMA,water,76.4,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,38.74,31.99,6.75
CA0546,10.1038/s41598-025-25325-5,PMMA,diiodomethane,45.1,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,38.74,31.99,6.75
CA0547,10.1038/s41598-025-25325-5,SG3 laser-textured PMMA,water,73.5,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,41.14,33.53,7.61
CA0548,10.1038/s41598-025-25325-5,SG3 laser-textured PMMA,diiodomethane,41.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,41.14,33.53,7.61
CA0549,10.1038/s41598-025-25325-5,SG9.5 laser-textured PMMA,water,51.3,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,51.37,28.25,23.13
CA0550,10.1038/s41598-025-25325-5,SG9.5 laser-textured PMMA,diiodomethane,41.9,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,51.37,28.25,23.13
CA0551,10.1038/s41598-025-25325-5,SG3/GO coated PMMA,water,68.9,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,39.6,27.19,12.41
CA0552,10.1038/s41598-025-25325-5,SG3/GO coated PMMA,diiodomethane,50.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,39.6,27.19,12.41
CA0553,10.1038/s41598-025-25325-5,SG3/CBD coated PMMA,water,0,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,73.13,26.54,46.59
CA0554,10.1038/s41598-025-25325-5,SG3/CBD coated PMMA,diiodomethane,34.9,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,73.13,26.54,46.59
CA0555,10.3390/polym17020208,Unmodified nonwoven PET membrane,water,110.9,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,12.83,11.75,1.08
CA0556,10.3390/polym17020208,Unmodified nonwoven PET membrane,diiodomethane,89.9,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,12.83,11.75,1.08
CA0557,10.3390/polym17020208,M-Poly-Ph modified nonwoven PET membrane,water,126.9,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,7.69,7.64,0.05
CA0558,10.3390/polym17020208,M-Poly-Ph modified nonwoven PET membrane,diiodomethane,103.2,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,7.69,7.64,0.05
CA0559,10.3390/polym17020208,M-Poly-PyB modified nonwoven PET membrane,water,120.3,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,6.84,5.98,0.86
CA0560,10.3390/polym17020208,M-Poly-PyB modified nonwoven PET membrane,diiodomethane,105.9,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,6.84,5.98,0.86
CA0561,10.3390/polym17020208,M-Poly-PyM modified nonwoven PET membrane,water,105.7,inferred_from_contact_angles,diiodomethane;water,yes,no,diiodomethane,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target water is included in the original fit.,,,,11.3,7.66,3.64
CA0562,10.3390/polym17020208,M-Poly-PyM modified nonwoven PET membrane,diiodomethane,97.3,inferred_from_contact_angles,diiodomethane;water,yes,no,water,high,"Do not use current apparent-SFE features as strong external validation evidence for this target; add another probe liquid, use independent SFE, or evaluate with SFE features ablated.",v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; water). Current target diiodomethane is included in the original fit.,,,,11.3,7.66,3.64
CA0563,10.3390/polym13244289,PTFE control substrate,water,118.1,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,22.02,22.02,0,23.41,23.25,0.17
CA0564,10.3390/polym13244289,PTFE control substrate,formamide,90,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,22.92,22.74,0.18,23.41,23.25,0.17
CA0565,10.3390/polym13244289,PTFE control substrate,diiodomethane,73.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,26.2,25.81,0.39,23.41,23.25,0.17
CA0566,10.3390/polym13244289,Glass control substrate,water,24.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,69.38,16.73,52.65,66.88,17.44,49.45
CA0567,10.3390/polym13244289,Glass control substrate,formamide,13.7,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,66.48,17.15,49.33,66.88,17.44,49.45
CA0568,10.3390/polym13244289,Glass control substrate,diiodomethane,56.3,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,66.36,18.89,47.47,66.88,17.44,49.45
CA0569,10.3390/polym13244289,PLA-C adsorption layer on PTFE,water,78.5,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,39.64,29.18,10.46,38.52,32.28,6.24
CA0570,10.3390/polym13244289,PLA-C adsorption layer on PTFE,formamide,49.5,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,37.12,31,6.11,38.52,32.28,6.24
CA0571,10.3390/polym13244289,PLA-C adsorption layer on PTFE,diiodomethane,47.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,43.08,38.94,4.13,38.52,32.28,6.24
CA0572,10.3390/polym13244289,PLA-C adsorption layer on silicone,water,73.7,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,30.55,23.24,7.31,32.53,20.55,11.97
CA0573,10.3390/polym13244289,PLA-C adsorption layer on silicone,formamide,63.6,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,33.79,21.63,12.16,32.53,20.55,11.97
CA0574,10.3390/polym13244289,PLA-C adsorption layer on silicone,diiodomethane,61.1,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,31.19,15.67,15.52,32.53,20.55,11.97
CA0575,10.1208/s12248-008-9057-0,Ankit microcrystalline cellulose powder column,water,36.2,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;ethylene glycol,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target water is included in the original fit.,42.48,33.27,9.2,54.74,23.36,31.37
CA0576,10.1208/s12248-008-9057-0,Ankit microcrystalline cellulose powder column,ethylene glycol,32.3,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target ethylene glycol is included in the original fit.,60.68,26.6,34.08,54.74,23.36,31.37
CA0577,10.1208/s12248-008-9057-0,Ankit microcrystalline cellulose powder column,diiodomethane,40.3,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,ethylene glycol;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target diiodomethane is included in the original fit.,68.97,2.67,66.3,54.74,23.36,31.37
CA0578,10.1208/s12248-008-9057-0,Emcocel 90M microcrystalline cellulose powder column,water,30,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;ethylene glycol,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target water is included in the original fit.,45.5,36.9,8.61,58.29,25.62,32.67
CA0579,10.1208/s12248-008-9057-0,Emcocel 90M microcrystalline cellulose powder column,ethylene glycol,26.4,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target ethylene glycol is included in the original fit.,64.97,29.29,35.67,58.29,25.62,32.67
CA0580,10.1208/s12248-008-9057-0,Emcocel 90M microcrystalline cellulose powder column,diiodomethane,32.8,inferred_from_contact_angles,diiodomethane;ethylene glycol;water,yes,yes,ethylene glycol;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; ethylene glycol; water). Current target diiodomethane is included in the original fit.,74.27,2.54,71.73,58.29,25.62,32.67
CA0581,10.1073/pnas.0403269102,Staphylococcus epidermidis microbial lawn,water,58.3,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,48.32,25.97,22.35,46.65,27.22,19.43
CA0582,10.1073/pnas.0403269102,Staphylococcus epidermidis microbial lawn,formamide,36.1,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,46.04,26.71,19.33,46.65,27.22,19.43
CA0583,10.1073/pnas.0403269102,Staphylococcus epidermidis microbial lawn,diiodomethane,47.2,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,47.5,29.82,17.68,46.65,27.22,19.43
CA0584,10.1073/pnas.0403269102,Pseudomonas aeruginosa microbial lawn,water,83.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;formamide,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target water is included in the original fit.,36.86,33.61,3.25,36.82,33.34,3.47
CA0585,10.1073/pnas.0403269102,Pseudomonas aeruginosa microbial lawn,formamide,58.7,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target formamide is included in the original fit.,36.93,33.45,3.48,36.82,33.34,3.47
CA0586,10.1073/pnas.0403269102,Pseudomonas aeruginosa microbial lawn,diiodomethane,45.8,inferred_from_contact_angles,diiodomethane;formamide;water,yes,yes,formamide;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; formamide; water). Current target diiodomethane is included in the original fit.,36.43,32.82,3.62,36.82,33.34,3.47
CA0587,10.3762/bjnano.6.212,smooth PIndole film,water,79.9,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,43.7,27.5,16.2,35.73,29.7,6.03
CA0588,10.3762/bjnano.6.212,smooth PIndole film,diiodomethane,47.3,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,34.07,27.5,6.57,35.73,29.7,6.03
CA0589,10.3762/bjnano.6.212,smooth PIndole film,hexadecane,0,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,36.91,31.53,5.38,35.73,29.7,6.03
CA0590,10.3762/bjnano.6.212,smooth PIndole-4-F6 film,water,97.5,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,43.54,24.87,18.67,30.37,29.48,0.89
CA0591,10.3762/bjnano.6.212,smooth PIndole-4-F6 film,diiodomethane,51.3,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,26.24,24.87,1.37,30.37,29.48,0.89
CA0592,10.3762/bjnano.6.212,smooth PIndole-4-F6 film,hexadecane,25.6,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,33.9,33.48,0.42,30.37,29.48,0.89
CA0593,10.3762/bjnano.6.212,smooth PIndole-4-F4 film,water,78.7,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,67.01,27.5,39.51,38.88,33.1,5.78
CA0594,10.3762/bjnano.6.212,smooth PIndole-4-F4 film,diiodomethane,35.6,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,34.61,27.5,7.11,38.88,33.1,5.78
CA0595,10.3762/bjnano.6.212,smooth PIndole-4-F4 film,hexadecane,0,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target hexadecane is included in the original fit.,42.25,37.98,4.27,38.88,33.1,5.78
CA0596,10.3762/bjnano.6.212,smooth PIndole-5-F6 film,water,96.8,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,diiodomethane;hexadecane,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target water is included in the original fit.,34.11,22.01,12.11,26.43,24.8,1.63
CA0597,10.3762/bjnano.6.212,smooth PIndole-5-F6 film,diiodomethane,60.4,inferred_from_contact_angles,diiodomethane;hexadecane;water,yes,yes,hexadecane;water,medium,Run LOO-SFE sensitivity: recompute apparent OWRK features from loo_available_liquids when predicting this target liquid.,v3.4 SFE was computed as apparent OWRK from same-surface liquids (diiodomethane; hexadecane; water). Current target diiodomethane is included in the original fit.,24.04,22.01,2.04,26.43,24.8,1.63
