surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_89A0CB9F83E8,OPEN_CROSS_MATERIAL_2026,Copper (oxidized),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_7B8DA975FCE0,OPEN_CROSS_MATERIAL_2026,Gold (Au),other,,literature-described condition,Freshly polished surface. Measured via sessile drop method.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B32C6485DACA,OPEN_CROSS_MATERIAL_2026,Non-anodized Titanium,other,,literature-described condition,Baseline contact angle for comparison with anodized TiO2 nanotubes.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_78B198988B7B,OPEN_CROSS_MATERIAL_2026,Untreated Ti,other,,literature-described condition,Bare titanium substrate,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_6730336819E9,OPEN_CROSS_MATERIAL_2026,Graphene,other,,literature-described condition,Optimized force fields consistent with experimental means,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_390D2EEA3DFF,OPEN_CROSS_MATERIAL_2026,Polycarbonate (PC),other,,literature-described condition,Untreated PC substrate; sessile drop method,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_2FFFD68BED4B,OPEN_CROSS_MATERIAL_2026,Graphene (fully suspended),other,,literature-described condition,Computational modeling; consistent with experimental value 85 ± 5°,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_77ED72A5FED3,OPEN_CROSS_MATERIAL_2026,Graphene (epitaxial on SiC),other,,literature-described condition,No thickness dependence; surface-energy engineering study,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_697C572C0860,OPEN_CROSS_MATERIAL_2026,CeO2 (100),other,,literature-described condition,Single crystal,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_51378859DFB5,OPEN_CROSS_MATERIAL_2026,Graphene (partial wetting transparency limit),other,,literature-described condition,Predicted highest water contact angle; theory + experiment,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_03E930156743,OPEN_CROSS_MATERIAL_2026,"Graphene bilayer (misoriented, 40°)",other,,literature-described condition,Maximum angle at 40° mismatch; MD simulations,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B9F3F2625635,OPEN_CROSS_MATERIAL_2026,Si wafer (ODS or FAS SAM),other,,literature-described condition,"Organosilane SAMs formed at vapour/solid interface (ODS, FAS)",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_B986E6B26E76,OPEN_CROSS_MATERIAL_2026,PET–SiOx film (FDTS SAM),other,,literature-described condition,"1 H,1 H,2 H,2 H-perfluorodecyltrichlorosilane; optimal concentration 26.5 mM dm⁻²",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_57F0BA5D8921,OPEN_CROSS_MATERIAL_2026,Polypropylene (PP),other,,literature-described condition,"RT, sessile drop 3 µL",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_CF1F29DEC3F3,OPEN_CROSS_MATERIAL_2026,PDMS (Sylgard 184),other,,literature-described condition,"Drop ~ 2 µL, 22 °C",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_3302282ACAA2,OPEN_CROSS_MATERIAL_2026,Dentin surface (OTS silanized),other,,literature-described condition,OTS increases CA from 51° to 109°,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_049A1C1B4B3F,OPEN_CROSS_MATERIAL_2026,Si-based MEMS surface (FOTS SAM),other,,literature-described condition,Chemical vapor deposition of FOTS monolayer for adhesion control,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_7B5A5C2A83F1,OPEN_CROSS_MATERIAL_2026,"SLA Titanium (sandblasted, acid-etched, aged 4 weeks)",other,,literature-described condition,Stored in dark ambient conditions. Hydrocarbon-contaminated surface.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_05D437139AEF,OPEN_CROSS_MATERIAL_2026,SLA Titanium + TiO2-B@anatase NWs (no UV),other,,literature-described condition,Treated with nanowire suspension in the dark.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E853D5C9A29E,OPEN_CROSS_MATERIAL_2026,CeO₂ (111),other,,literature-described condition,Single-crystal surface,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D88CE82490CD,OPEN_CROSS_MATERIAL_2026,Pristine (untreated) PTFE,other,,literature-described condition,Conventional PTFE surface,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_3122EC9D3530,OPEN_CROSS_MATERIAL_2026,SLIPS on TiO2 Nanotubes (Krytox GPL 105 Oil),other,,literature-described condition,The measured water contact angle (WCA) indicates a slippery surface.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_C4217EEC69EE,OPEN_CROSS_MATERIAL_2026,SLIPS Ti (Final),other,,literature-described condition,"Anodized, modified (5 vol% TMPSi), infused with Krytox GPL 105 Oil",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_EAC59F0538FF,OPEN_CROSS_MATERIAL_2026,H-terminated Si(111) (fluoro-hydro alkyne SAM),other,,literature-described condition,Fluoro-hydro alkyne–derived SAM; static CA reported,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5F7F48BBA35E,OPEN_CROSS_MATERIAL_2026,Polycarbonate (PC) - Laser textured,other,,literature-described condition,Surface textured via CO₂ laser ablation.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5ED24325E10A,OPEN_CROSS_MATERIAL_2026,Pressed Drop on Spikes,other,,literature-described condition,Transition to Wenzel state upon pressing.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D5CB19B7A059,OPEN_CROSS_MATERIAL_2026,"Glass (OTS-treated, oil–solid interface)",other,,literature-described condition,Water droplets at oil/OTS-glass interface,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_A2FC0BD30E3E,OPEN_CROSS_MATERIAL_2026,Lubricant-Infused Multiscale-Textured Surface,other,,literature-described condition,Chemically functionalized.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_BB30AA0AE8D6,OPEN_CROSS_MATERIAL_2026,SLIMS2,other,,literature-described condition,Infused with Fomblin Y-LVAC 16/6,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5D474B7F127E,OPEN_CROSS_MATERIAL_2026,Flat Si wafer (fluoro-polymer film),other,,literature-described condition,Fluoro-based block copolymer film; smooth surface,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5774779C7E4E,OPEN_CROSS_MATERIAL_2026,SrTiO3 nanorod arrays (oleic acid treated),other,,literature-described condition,Surface treated with oleic acid. Wettability is reversible with UV illumination.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_8D0462C5653C,OPEN_CROSS_MATERIAL_2026,Generic SLIPS / LIS,other,,literature-described condition,The high apparent contact angle at the drop-lubricant interface facilitates easy sliding.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_008B5AD02DF3,OPEN_CROSS_MATERIAL_2026,Wood surface (OTS modified),other,,literature-described condition,OTS at 2 vol % on Bi2O3-doped Si–Ti composite film,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_71537A54AC75,OPEN_CROSS_MATERIAL_2026,TiO2 nanorods on Si pyramids,other,,literature-described condition,Hydrophobicity enhanced by ion irradiation-induced oxygen vacancy migration.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_BD28F27D1B1C,OPEN_CROSS_MATERIAL_2026,SS 316 L (laser-irradiated in water),other,,literature-described condition,Hydrophobic surface created; unpolished SS316L reference 82 ± 4°,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_4B7DAC13B6CB,OPEN_CROSS_MATERIAL_2026,Rough CNT-structured Si (fluoro-polymer film),other,,literature-described condition,Hierarchical roughness on CNTs enhances hydrophobicity,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5D72E873B03B,OPEN_CROSS_MATERIAL_2026,Biomimetic superhydrophobic surfaces (general),other,,literature-described condition,Artificial surfaces created by combining hierarchical roughness,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_78D38330E7A9,OPEN_CROSS_MATERIAL_2026,Titanium oxide (various structures),other,,literature-described condition,High static contact angle achieved via a two-step process. Adhesion is tunable.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_6B46DE746EC7,OPEN_CROSS_MATERIAL_2026,Cellulose paper (fluorine-free modified),other,,literature-described condition,Filter paper modified with organosilanes.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_2323C916D9CA,OPEN_CROSS_MATERIAL_2026,Hairy PDMS-coated glass,other,,literature-described condition,AAO-templated hierarchical PDMS,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_807168F787F5,OPEN_CROSS_MATERIAL_2026,PMMA with POTS-functionalized silica nanoparticles,other,,literature-described condition,"Superhydrophobic, self-cleaning plastic surface created via sol-gel process.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_01C5DA91E115,OPEN_CROSS_MATERIAL_2026,PMMA substrate (POTS coating),other,,literature-described condition,Sol-gel processed surface modified with perfluorooctyltriethoxysilane,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_C09DABED6453,OPEN_CROSS_MATERIAL_2026,Fluorinated silica nanoparticle film,other,,literature-described condition,Superhydrophobic thin film from fluorinated SiO2 nanoparticles,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_40D416367ED5,OPEN_CROSS_MATERIAL_2026,PTFE - Plasma Etching (PE) treated,other,,literature-described condition,Treated with O2/Ar plasma (PE method).,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_893F8367669D,OPEN_CROSS_MATERIAL_2026,SLIMS1,other,,literature-described condition,Infused with Krytox 101,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_10AE4DFE50CE,OPEN_CROSS_MATERIAL_2026,Micropillar array (lubricant-infused),other,,literature-described condition,"Lubricant: Decanol, surface underfilled by 1–2 μm.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D382AE2DA4CA,OPEN_CROSS_MATERIAL_2026,Micropillar array (lubricant-infused),other,,literature-described condition,Apparent contact angle at solid-TPCL.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_3D43AF072E6D,OPEN_CROSS_MATERIAL_2026,Superhydrophobic coating on glass,other,,literature-described condition,Optically transparent coating based on functionalized SiO2 nanoparticles.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D9DD5BCDEBD2,OPEN_CROSS_MATERIAL_2026,SHS (Superhydrophobic Surface),other,,literature-described condition,Base fluoroalkyl-functionalized silica/PVDF-HFP composite.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E366C485FD23,OPEN_CROSS_MATERIAL_2026,Micropillar array (lubricant-infused),other,,literature-described condition,"Decanol, surface overfilled by 32 ± 1 μm.",,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D1DB5176E829,OPEN_CROSS_MATERIAL_2026,Modified Anodized Ti (5 vol% TMPSi),other,,literature-described condition,Superhydrophobic surface after silane modification,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_5C7869425C1B,OPEN_CROSS_MATERIAL_2026,PDMS hierarchical surface,other,,literature-described condition,Dual-scale roughness induces superhydrophobicity,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_4A211D37EBCC,OPEN_CROSS_MATERIAL_2026,PTFE - Reactive Ion Etching (RIE) treated,other,,literature-described condition,Treated with O₂/Ar plasma (RIE method),,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_E45DCD7FEE37,OPEN_CROSS_MATERIAL_2026,Inverse opal (infused with FC70),other,,literature-described condition,Surface overfilled by ~ 10–25 μm.,,static literature condition,,,,Exact/static row extracted; range-only and unsupported-liquid rows were excluded.
SFC_D997DF0085DF,OPEN_POLYMER_SURFACES_2023,PCa,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_874E84FC80A7,OPEN_POLYMER_SURFACES_2023,PVAc,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_E066D95CCC78,OPEN_POLYMER_SURFACES_2023,PC,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_AC4DDEECE3F7,OPEN_POLYMER_SURFACES_2023,Nylon 66,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_F0BFA31774A7,OPEN_POLYMER_SURFACES_2023,PPS,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_619070545661,OPEN_POLYMER_SURFACES_2023,PS,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_FFE25A9A5A54,OPEN_POLYMER_SURFACES_2023,PVC,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_1D7210C10C8C,OPEN_POLYMER_SURFACES_2023,PET,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_ECD42A787C67,OPEN_POLYMER_SURFACES_2023,PMMA,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_5648457375F3,OPEN_POLYMER_SURFACES_2023,PVF,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_4CBC1B4A127C,OPEN_POLYMER_SURFACES_2023,HDPE,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_4BD23D0F3546,OPEN_POLYMER_SURFACES_2023,PVDF,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_A65652A71181,OPEN_POLYMER_SURFACES_2023,LDPE,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_D9EFE53A22B1,OPEN_POLYMER_SURFACES_2023,PP,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_6353761F5CC5,OPEN_POLYMER_SURFACES_2023,SBR,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_A66B59B95A03,OPEN_POLYMER_SURFACES_2023,PTrFE,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_62075C90581B,OPEN_POLYMER_SURFACES_2023,PTFE,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_36EF2E368C84,OPEN_POLYMER_SURFACES_2023,PPFA,polymer,polymer surface,literature-reported,Table-reported polymer surface; treatment detail not available in this table,,literature-reported surface,,,,Diagnostic literature-reported angle; advancing/receding status is not specified in the source table.
SFC_70D1A1076BBD,OPEN_TEXTILE_ANTI_WETTING_2019,Cel,polymer_textile,polymeric film,flat film; untreated,Specimen label Cel; flat film; untreated.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_B23DE8940451,OPEN_TEXTILE_ANTI_WETTING_2019,Cel-f,polymer_textile,polymeric film,flat film; fluorinated anti-wetting coating,Specimen label Cel-f; flat film; fluorinated anti-wetting coating.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_C90D1535E78D,OPEN_TEXTILE_ANTI_WETTING_2019,Cel-Si,polymer_textile,polymeric film,flat film; silane anti-wetting coating,Specimen label Cel-Si; flat film; silane anti-wetting coating.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_F92838A9E6A2,OPEN_TEXTILE_ANTI_WETTING_2019,PP,polymer_textile,polymeric film,flat film; untreated,Specimen label PP; flat film; untreated.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_F8CAAE03FE56,OPEN_TEXTILE_ANTI_WETTING_2019,PET,polymer_textile,polymeric film,flat film; untreated,Specimen label PET; flat film; untreated.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_96459A5711ED,OPEN_TEXTILE_ANTI_WETTING_2019,PET-f,polymer_textile,polymeric film,flat film; fluorinated anti-wetting coating,Specimen label PET-f; flat film; fluorinated anti-wetting coating.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_DE9D8D16E40F,OPEN_TEXTILE_ANTI_WETTING_2019,PET-Si,polymer_textile,polymeric film,flat film; silane anti-wetting coating,Specimen label PET-Si; flat film; silane anti-wetting coating.,,flat film,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_A7A6BDD5941D,OPEN_TEXTILE_ANTI_WETTING_2019,Cel(SL),polymer_textile,polymeric nonwoven textile,spunlace nonwoven; untreated,Specimen label Cel(SL); spunlace nonwoven; untreated.,,spunlace nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_AEE4770633F2,OPEN_TEXTILE_ANTI_WETTING_2019,Cel(SL)-f,polymer_textile,polymeric nonwoven textile,spunlace nonwoven; fluorinated anti-wetting coating,Specimen label Cel(SL)-f; spunlace nonwoven; fluorinated anti-wetting coating.,,spunlace nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_E0770C382AAA,OPEN_TEXTILE_ANTI_WETTING_2019,Cel(SL)-Si,polymer_textile,polymeric nonwoven textile,spunlace nonwoven; silane anti-wetting coating,Specimen label Cel(SL)-Si; spunlace nonwoven; silane anti-wetting coating.,,spunlace nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_D1ADE9B03D51,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB),polymer_textile,polymeric nonwoven textile,spunbond nonwoven; untreated,Specimen label PET(SB); spunbond nonwoven; untreated.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_F4A35D2DD4C5,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB)-f,polymer_textile,polymeric nonwoven textile,spunbond nonwoven; fluorinated anti-wetting coating,Specimen label PET(SB)-f; spunbond nonwoven; fluorinated anti-wetting coating.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_B6F1BA3CA55E,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB)-Si,polymer_textile,polymeric nonwoven textile,spunbond nonwoven; silane anti-wetting coating,Specimen label PET(SB)-Si; spunbond nonwoven; silane anti-wetting coating.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_ADC096AE0D75,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB-etch),polymer_textile,polymeric nonwoven textile,spunbond nonwoven; alkaline etching,Specimen label PET(SB-etch); spunbond nonwoven; alkaline etching.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_7E09C519A040,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB-etch)-f,polymer_textile,polymeric nonwoven textile,spunbond nonwoven; fluorinated anti-wetting coating; alkaline etching,Specimen label PET(SB-etch)-f; spunbond nonwoven; fluorinated anti-wetting coating; alkaline etching.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_FE1BCA204FFA,OPEN_TEXTILE_ANTI_WETTING_2019,PET(SB-etch)-Si,polymer_textile,polymeric nonwoven textile,spunbond nonwoven; silane anti-wetting coating; alkaline etching,Specimen label PET(SB-etch)-Si; spunbond nonwoven; silane anti-wetting coating; alkaline etching.,,spunbond nonwoven,,,,Static contact angle and SD extracted from CA columns only; shedding-angle columns were intentionally excluded.
SFC_01B9AA1C0B74,OPEN_PLA_FILMS_2021,Control on PTFE,polymer_film,PTFE,substrate control; no PLA film,substrate control; no PLA film; source Table 1 condition Control; film preparation and substrate are retained as separate fields.,,bare substrate control,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_B1D8AACA85B5,OPEN_PLA_FILMS_2021,PLA-C on PTFE,polymer_film,PTFE,PLA film cast from chloroform,PLA film cast from chloroform; source Table 1 condition PLA-C; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_662849118DF0,OPEN_PLA_FILMS_2021,PLA-A on PTFE,polymer_film,PTFE,PLA film cast from acetone,PLA film cast from acetone; source Table 1 condition PLA-A; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_29A9F5906DC4,OPEN_PLA_FILMS_2021,PLA-T on PTFE,polymer_film,PTFE,PLA film cast from tetrahydrofuran,PLA film cast from tetrahydrofuran; source Table 1 condition PLA-T; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_4640D599C795,OPEN_PLA_FILMS_2021,Control on Glass,polymer_film,Glass,substrate control; no PLA film,substrate control; no PLA film; source Table 1 condition Control; film preparation and substrate are retained as separate fields.,,bare substrate control,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_869B011AB104,OPEN_PLA_FILMS_2021,PLA-C on Glass,polymer_film,Glass,PLA film cast from chloroform,PLA film cast from chloroform; source Table 1 condition PLA-C; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_52F0F5BD3D6C,OPEN_PLA_FILMS_2021,PLA-A on Glass,polymer_film,Glass,PLA film cast from acetone,PLA film cast from acetone; source Table 1 condition PLA-A; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_8864A171D8DB,OPEN_PLA_FILMS_2021,PLA-T on Glass,polymer_film,Glass,PLA film cast from tetrahydrofuran,PLA film cast from tetrahydrofuran; source Table 1 condition PLA-T; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_CA0DF2A414ED,OPEN_PLA_FILMS_2021,Control on Ti6Al4V,polymer_film,Ti6Al4V,substrate control; no PLA film,substrate control; no PLA film; source Table 1 condition Control; film preparation and substrate are retained as separate fields.,,bare substrate control,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_0FBA62725BE6,OPEN_PLA_FILMS_2021,PLA-C on Ti6Al4V,polymer_film,Ti6Al4V,PLA film cast from chloroform,PLA film cast from chloroform; source Table 1 condition PLA-C; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_84FF6543987A,OPEN_PLA_FILMS_2021,PLA-A on Ti6Al4V,polymer_film,Ti6Al4V,PLA film cast from acetone,PLA film cast from acetone; source Table 1 condition PLA-A; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_91B74A694C1A,OPEN_PLA_FILMS_2021,PLA-T on Ti6Al4V,polymer_film,Ti6Al4V,PLA film cast from tetrahydrofuran,PLA film cast from tetrahydrofuran; source Table 1 condition PLA-T; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_46B777D53533,OPEN_PLA_FILMS_2021,Control on Silicone,polymer_film,Silicone,substrate control; no PLA film,substrate control; no PLA film; source Table 1 condition Control; film preparation and substrate are retained as separate fields.,,bare substrate control,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_2171EA47DB00,OPEN_PLA_FILMS_2021,PLA-C on Silicone,polymer_film,Silicone,PLA film cast from chloroform,PLA film cast from chloroform; source Table 1 condition PLA-C; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
SFC_C73C8C6483E4,OPEN_PLA_FILMS_2021,PLA-A on Silicone,polymer_film,Silicone,PLA film cast from acetone,PLA film cast from acetone; source Table 1 condition PLA-A; film preparation and substrate are retained as separate fields.,,flat film,,,,Average +/- standard deviation extracted from Table 1. The article reports at least fifteen drops on three samples; replicates_n=15 is a conservative lower bound.
